path,role,category,profile,format,bytes,width,height,sha256,status
assets/runtime/characters/char_leader_male_white_v1--thumb.webp,runtime,character,thumb,webp,7524,320,320,e7301330074e02f794094ecffdae7aa50a3be31a7c7d60dd1b8378eeb220c5d5,optimized
assets/runtime/icons/icon_set_v1--ui.avif,runtime,icon,ui,avif,29698,960,409,66b37260dd240b132dda8fdd2392969dd8f368e35ee97cdd6c357685ed4489fd,optimized
assets/runtime/icons/icon_set_v1--ui.webp,runtime,icon,ui,webp,62110,960,409,0d6107c43c7d1b4fb23790dc4828d19875733cd5f0dae5a5d887ecf26b1b419f,optimized
assets/runtime/parties/party_mdb_card_v1--party.avif,runtime,party,party,avif,4462,360,336,b991c37c0c6e8848d35bbe88ca4dcf46a4b6c5c9bbf2684d7233abd669bf5151,optimized
assets/runtime/parties/party_mdb_card_v1--party.webp,runtime,party,party,webp,8480,360,336,65af961e29d49b0291c7d66a9c770e3a78fffb12b64c8fb7a76fee20dc5c542f,optimized
assets/runtime/parties/party_novo_card_v1--party.avif,runtime,party,party,avif,3955,360,336,eee665137bc8d1190c6e38279270c4504b933ece3df2ab92c1e38888dc6083c8,optimized
assets/runtime/parties/party_novo_card_v1--party.webp,runtime,party,party,webp,7700,360,336,058bfd1a84670884d78294d88b838164ecbc9d5b7a8a17de980fcb5e9609a01b,optimized
assets/runtime/parties/party_pl_card_v1--party.avif,runtime,party,party,avif,4250,360,336,feb071a7a2f5fe146143ab2729c5ab860275569349161b84211c22e87ca78416,optimized
assets/runtime/parties/party_pl_card_v1--party.webp,runtime,party,party,webp,7812,360,336,6a74b55ab014d3b61a1c15cc81b99eab45da9d185674f12fd98499df037cdfad,optimized
assets/runtime/parties/party_pp_card_v1--party.avif,runtime,party,party,avif,3479,360,336,39768dc49739f4ff50d53c5ce61ef2dcf8d5a2607cb8e64ae39e4a3b92a80d92,optimized
assets/runtime/parties/party_pp_card_v1--party.webp,runtime,party,party,webp,6000,360,336,48ea812178926b60b4e126688f34041b2873c798a997a20c929836d69a134bcf,optimized
assets/runtime/parties/party_psb_card_v1--party.avif,runtime,party,party,avif,4848,360,336,c9f5f5494f626f78ae1488bab698e2d84834f2538fbcedbbac809fc1df399e3c,optimized
assets/runtime/parties/party_psb_card_v1--party.webp,runtime,party,party,webp,8590,360,336,4fe454643cdbb6633b9759869fe7e27ccd1c778030a5617488aac5f208add438,optimized
assets/runtime/parties/party_psd_card_v1--party.avif,runtime,party,party,avif,4043,360,336,b50e2c32a9dfc55e1e1d20c383575657f5fcc224e17fb112d69a8df63f069c45,optimized
assets/runtime/parties/party_psd_card_v1--party.webp,runtime,party,party,webp,6712,360,336,66295cbf6c79d25b0b9e9d9d5a097f4f1c6a1847d791041b3ac9402028aed3c8,optimized
